temperature,2015-01-21T16:46:09.0458945Z,energy0,0,27.92
energy,2015-01-21T16:46:09.5172578Z,energy0,0,3028
humidity,2015-01-21T16:46:09.5232625Z,humidity0,0,75
light,2015-01-21T16:46:09.5292387Z,light0,0,1029
temperature,2015-01-21T16:46:09.7554010Z,energy1,0,27.51
energy,2015-01-21T16:46:09.7554010Z,energy1,0,4004
humidity,2015-01-21T16:46:09.7554010Z,humidity1,0,71
light,2015-01-21T16:46:09.7554010Z,light1,0,571
temperature,2015-01-21T16:46:09.7724138Z,energy2,0,20.31
energy,2015-01-21T16:46:09.7724138Z,energy2,0,4193
humidity,2015-01-21T16:46:09.7724138Z,humidity2,0,70
light,2015-01-21T16:46:09.7734187Z,light2,0,1896
temperature,2015-01-21T16:46:09.7814235Z,energy3,0,25.06
energy,2015-01-21T16:46:09.7814235Z,energy3,0,4645
humidity,2015-01-21T16:46:09.7814235Z,humidity3,0,77
light,2015-01-21T16:46:09.7814235Z,light3,0,1118
temperature,2015-01-21T16:46:09.7914257Z,energy4,0,28.07
energy,2015-01-21T16:46:09.7914257Z,energy4,0,4773
humidity,2015-01-21T16:46:09.7914257Z,humidity4,0,45
light,2015-01-21T16:46:09.7914257Z,light4,0,1381
temperature,2015-01-21T16:46:09.8004315Z,energy5,0,28.37
energy,2015-01-21T16:46:09.8004315Z,energy5,0,3679
humidity,2015-01-21T16:46:09.8004315Z,humidity5,0,76
light,2015-01-21T16:46:09.8004315Z,light5,0,794
temperature,2015-01-21T16:46:09.8094386Z,energy6,0,26.95
energy,2015-01-21T16:46:09.8094386Z,energy6,0,3126
humidity,2015-01-21T16:46:09.8094386Z,humidity6,0,93
light,2015-01-21T16:46:09.8094386Z,light6,0,956
temperature,2015-01-21T16:46:09.8194443Z,energy7,0,22.64
energy,2015-01-21T16:46:09.8194443Z,energy7,0,3670
humidity,2015-01-21T16:46:09.8194443Z,humidity7,0,54
light,2015-01-21T16:46:09.8194443Z,light7,0,1153
temperature,2015-01-21T16:46:09.8444637Z,energy8,0,28.6
energy,2015-01-21T16:46:09.8444637Z,energy8,0,4800
humidity,2015-01-21T16:46:09.8444637Z,humidity8,0,68
light,2015-01-21T16:46:09.8444637Z,light8,0,1245
temperature,2015-01-21T16:46:09.8834913Z,energy9,0,22.26
energy,2015-01-21T16:46:09.8834913Z,energy9,0,3598
humidity,2015-01-21T16:46:09.8834913Z,humidity9,0,41
light,2015-01-21T16:46:09.8834913Z,light9,0,640
temperature,2015-01-21T16:46:09.8965003Z,energy10,0,24.67
energy,2015-01-21T16:46:09.8965003Z,energy10,0,2333
humidity,2015-01-21T16:46:09.8965003Z,humidity10,0,67
light,2015-01-21T16:46:09.8965003Z,light10,0,156
temperature,2015-01-21T16:46:09.9065074Z,energy11,0,26.45
energy,2015-01-21T16:46:09.9065074Z,energy11,0,2387
humidity,2015-01-21T16:46:09.9065074Z,humidity11,0,68
light,2015-01-21T16:46:09.9065074Z,light11,0,778
temperature,2015-01-21T16:46:09.9155136Z,energy12,0,28.86
energy,2015-01-21T16:46:09.9155136Z,energy12,0,2224
humidity,2015-01-21T16:46:09.9155136Z,humidity12,0,59
light,2015-01-21T16:46:09.9155136Z,light12,0,1211
temperature,2015-01-21T16:46:09.9245202Z,energy13,0,22.63
energy,2015-01-21T16:46:09.9245202Z,energy13,0,4254
humidity,2015-01-21T16:46:09.9245202Z,humidity13,0,76
light,2015-01-21T16:46:09.9245202Z,light13,0,577
temperature,2015-01-21T16:46:09.9345278Z,energy14,0,25.33
energy,2015-01-21T16:46:09.9345278Z,energy14,0,3301
humidity,2015-01-21T16:46:09.9345278Z,humidity14,0,71
light,2015-01-21T16:46:09.9345278Z,light14,0,840
temperature,2015-01-21T16:46:09.9475364Z,energy15,0,26.47
energy,2015-01-21T16:46:09.9475364Z,energy15,0,2731
